"CO_SH6";"NO_SH6_POR";"NO_SH6_ESP";"NO_SH6_ING";"CO_SH4";"NO_SH4_POR";"NO_SH4_ESP";"NO_SH4_ING";"CO_SH2";"NO_SH2_POR";"NO_SH2_ESP";"NO_SH2_ING";"CO_NCM_SECROM";"NO_SEC_POR";"NO_SEC_ESP";"NO_SEC_ING"
"010229";"Outros bovinos domésticos";"Otros ganados domésticos";"Other domestic cattle";"0102";"Animais vivos da espécie bovina";"Animales vivos de la especie bovina";"Live bovine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010231";"Búfalos reprodutores de raça pura";"Buffalos reproductores de raza pura";"Buffalo pure-bred breeding";"0102";"Animais vivos da espécie bovina";"Animales vivos de la especie bovina";"Live bovine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010239";"Outros búfalos";"Otros buffalos";"Other buffalo";"0102";"Animais vivos da espécie bovina";"Animales vivos de la especie bovina";"Live bovine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010290";"Outros bovinos vivos";"Bovinos vivos (exc. reproductores de raza pura)";"Live bovine animals (excl. pure-bred for breeding)";"0102";"Animais vivos da espécie bovina";"Animales vivos de la especie bovina";"Live bovine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010310";"Suínos reprodutores de raça pura";"Porcinos reproductores de raza pura";"Pure-bred breeding swine";"0103";"Animais vivos da espécie suína";"Animales vivos de la especie porcina";"Live swine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010391";"Outros suínos vivos de peso inferior a 50 kg";"Porcinos vivos, de peso < 50 kg (exc. reproductores de raza pura)";"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)";"0103";"Animais vivos da espécie suína";"Animales vivos de la especie porcina";"Live swine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010392";"Outros suínos vivos de peso igual ou superior a 50 kg";"Porcinos vivos de peso >= 50 kg (exc. reproductores de raza pura)";"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)";"0103";"Animais vivos da espécie suína";"Animales vivos de la especie porcina";"Live swine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010410";"Ovinos vivos";"Ovinos vivos";"Live sheep";"0104";"Animais vivos das espécies ovina e caprina";"Animales vivos de las especies ovina o caprina";"Live sheep and goats";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010420";"Caprinos vivos";"Caprinos vivos";"Live goats";"0104";"Animais vivos das espécies ovina e caprina";"Animales vivos de las especies ovina o caprina";"Live sheep and goats";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010511";"Galos e galinhas vivos, das espécies domésticas, de peso não superior a 185 g";"Gallos y gallinas de las especies domésticas, vivos, de peso <= 185 g";"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010512";"Peruas e perus vivos, da espécie doméstica, de peso não superior a 185 g";"Pavos ""gallipavos"" de las especies domésticas, vivos, de peso <= 185 g";"Live domestic turkeys, weighing <= 185 g";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010513";"Patos";"Patos";"Ducks";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010514";"Gansos";"Gansos";"Geese";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010515";"Galinhas-d'angola (pintadas)";"Pollos dangola - pintado";"Chickens dangola - painted";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010519";"Patos, gansos, galinhas d'angola e outras aves vivas, da espécie doméstica, de peso não superior a 185 g";"Patos, gansos y pintadas de las especies domésticas, vivos, de peso <= 185 g";"Live domestic ducks, geese and guinea fowls, weighing <= 185 g";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010592";"Outros galos e galinhas, vivos, de peso <= 2.000 g";"Demás gallos y gallinas vivos de peso <= 2000 g";"Other live fowls species gallus domesticus, weight <= 2.000 g";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010593";"Galos e galinhas, vivos, de peso superior a 2.000 g";"Gallos y gallinas vivos de peso superior a 2000 g";"Live fowls species gallus domesticus weighing 2.000 g";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010594";"Galos e galinhas vivos, das espécies domésticas, de peso superior a 185g";"Gallos y gallinas de las especies domésticas, vivos, de peso > 185 g";"Live fowls of the species Gallus domesticus, weighing > 185";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010599";"Patos, gansos, perus, galinhas d'angola e outras aves vivas, das espécies domésticas, de peso superior a 185 g";"Patos, gansos, pavos ""gallipavos"" y pintadas de las especies domésticas, vivos, de peso > 185 g";"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g";"0105";"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos:";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010600";"Outros animais vivos";"Otros animales vivos";"Ohter live animals";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010611";"Mamíferos primatas vivos";"Mamíferos primates que viven";"Live primates";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010612";"Baleias, golfinhos e marsuínos; peixes-boi e dugongos, vivos";"Ballenas, delfines y marsopas ""mamíferos del orden Cetáceos"", manatíes y dugones o dugongos ""mamíferos del orden Sirenios"", vivos";"Live whales, dolphins and purpoises mammals of the order Cetacea and manatees and dugongs mammals of the order Sirenia";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010613";"Camelos e outros camelídeos (camelidae)";"Camellos y camélidos (Camelidae)";"Camels and camelids (Camelidae)";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010614";"Coelhos e lebres";"Conejos y liebres";"Rabbits and hares";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010619";"Outros mamíferos vivos";"Mamíferos vivos (exc. primates, ballenas, delfines y marsopas ""mamíferos del orden Cetáceos"", manatíes y dugones o dugongos ""mamíferos del orden Sirenios"", caballos, asnos, mulos, burdéganos, bovinos, porcinos, ovinos y caprinos)";"Live mammals (excl. primates, whales, dolphins and purpoises mammals of the order Cetacea, manatees and dugongs mammals of the order Sirenia and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010620";"Répteis vivos (incluídos as serpentes e tartarugas marinhas)";"Reptiles, incl. las serpientes y las tortugas de mar, vivos";"Live reptiles e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010631";"Aves de rapina vivas";"Aves de rapiña, vivas";"Live birds of prey";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010632";"Psitaciformes vivos (incluídos os papagaios, os periquitos, as araras e as cacatuas)";"Psitaciformes, incl. los loros, guacamayos, cacatúas y demás papagayos";"Live psittaciformes incl. parrots, parrakeets, macaws and cockatoos";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010633";"Avestruzes; emus (Dromaius novaehollandiae)";"Los avestruces, los emúes (Dromaius novaehollandiae)";"Ostriches; emus (Dromaius novaehollandiae)";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010639";"Outras aves vivas";"Aves vivas (exc. aves de rapiña y psitaciformes, incl. los loros, guacamayos, cacatúas y demás papagayos)";"Live birds (excl. birds of prey and psittaciformes incl. parrots, parrakeets, macaws and cockatoos)";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010641";"Abelhas";"Abejas";"Bees";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010649";"Outros insetos";"Otros insectos";"Other insects";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010690";"Outros animais vivos";"Animales vivos (exc. mamíferos, reptiles, aves, pescados, crustáceos, moluscos y otros invertebrados acuáticos, así como cultivos de microorganismos y similares)";"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)";"0106";"Outros animais vivos";"Demás animales vivos";"Other live animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020110";"Carcaças e meias carcaças de bovino, frescas ou refrigeradas";"Canales o medias canales, de bovinos, frescas o refrigeradas";"Carcases or half-carcases of bovine animals, fresh or chilled";"0201";"Carnes de animais da espécie bovina, frescas ou refrigeradas";"Carne de animales de la especie bovina, fresca o refrigerada";"Meat of bovine animals, fresh or chilled";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020120";"Outras peças de bovino, não desossadas, frescas ou refrigeradas";"Cortes ""trozos"" de bovinos, sin deshuesar, frescos o refrigerados (exc. canales o medias canales)";"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)";"0201";"Carnes de animais da espécie bovina, frescas ou refrigeradas";"Carne de animales de la especie bovina, fresca o refrigerada";"Meat of bovine animals, fresh or chilled";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020130";"Carnes de bovino, desossadas, frescas ou refrigeradas";"Carne deshuesada, de bovinos, fresca o refrigerada";"Fresh or chilled bovine meat, boneless";"0201";"Carnes de animais da espécie bovina, frescas ou refrigeradas";"Carne de animales de la especie bovina, fresca o refrigerada";"Meat of bovine animals, fresh or chilled";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020210";"Carcaças e meias-carcaças de bovino, congeladas";"Canales o medias canales, de bovinos, congeladas";"Frozen bovine carcases and half-carcases";"0202";"Carnes de animais da espécie bovina, congeladas";"Carne de animales de la especie bovina, congelada";"Meat of bovine animals, frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020220";"Outras peças de bovino, não desossadas, congeladas";"Trozos de bovinos, sin deshuesar, congelados (exc. canales o medias canales)";"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)";"0202";"Carnes de animais da espécie bovina, congeladas";"Carne de animales de la especie bovina, congelada";"Meat of bovine animals, frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020230";"Carnes de bovino, desossadas, congeladas";"Carne deshuesada, de bovinos, congelada";"Frozen, boneless meat of bovine animals";"0202";"Carnes de animais da espécie bovina, congeladas";"Carne de animales de la especie bovina, congelada";"Meat of bovine animals, frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020311";"Carcaças e meias-carcaças de suíno, frescas ou refrigeradas ";"Canales o medias canales, de porcinos, frescas o refrigeradas";"Fresh or chilled carcases and half-carcases of swine";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"Carne de animales de la especie porcina, fresca, refrigerada o congelada";"Meat of swine, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020312";"Pernas, pás e pedaços de suíno, não desossados, frescos ou refrigerados ";"Piernas, paletas, y sus trozos, sin deshuesar, de porcinos, frescos o refrigerados";"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"Carne de animales de la especie porcina, fresca, refrigerada o congelada";"Meat of swine, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020319";"Outras carnes de suíno, frescas ou refrigeradas";"Carne de porcinos, fresca o refrigerada (exc. canales o medias canales, así como piernas, paletas y sus trozos, sin deshuesar)";"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"Carne de animales de la especie porcina, fresca, refrigerada o congelada";"Meat of swine, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020321";"Carcaças e meias-carcaças de suíno, congeladas ";"Canales o medias canales de porcinos, congeladas";"Frozen carcases and half-carcases of swine";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"Carne de animales de la especie porcina, fresca, refrigerada o congelada";"Meat of swine, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020322";"Pernas, pás e pedaços de suínos, não desossados, congelados ";"Piernas, paletas, y sus trozos, sin deshuesar, de porcinos, congelados";"Frozen hams, shoulders and cuts thereof of swine, boneless";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"Carne de animales de la especie porcina, fresca, refrigerada o congelada";"Meat of swine, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020329";"Outras carnes de suíno, congeladas";"Carne de porcinos, congelada (exc. canales o medias canales, así como piernas, paletas y sus trozos, sin deshuesar)";"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)";"0203";"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas";"Carne de animales de la especie porcina, fresca, refrigerada o congelada";"Meat of swine, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020410";"Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas ";"Canales o medias canales de cordero, frescas o refrigeradas";"Fresh or chilled lamb carcases and half-carcases";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada";"Meat of sheep or goats, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020421";"Carcaças e meias-carcaças de ovino, frescas ou refrigeradas ";"Canales o medias canales de ovinos, frescas o refrigeradas (exc. corderos)";"Fresh or chilled sheep carcases and half-carcases (excl. lambs)";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada";"Meat of sheep or goats, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020422";"Outras carnes de ovino, não desossadas, frescas ou refrigeradas";"Cortes ""trozos"" de ovinos, sin deshuesar, frescos o refrigerados (exc. canales o medias canales)";"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada";"Meat of sheep or goats, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"020423";"Carnes de ovino, desossadas, frescas ou refrigeradas";"Carnes deshuesadas de ovinos, frescas o refrigeradas";"Fresh or chilled boneless cuts of sheep";"0204";"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas";"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada";"Meat of sheep or goats, fresh, chilled or frozen";"02";"Carnes e miudezas, comestíveis";"Carne y despojos comestibles";"Meat and edible meat offal";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
